web-scraper-order,web-scraper-start-url,rooms_area_price_raw,price_raw,address_raw,description_raw,title_raw,area_raw,rooms_raw
"1726673548-11","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2.5 Zimmer","CHF 2’190.–","Ulrich Hegnerstrasse 1, 8400 Winterthur","Das Projekt Vantage3 umfasst 10 Mietwohnungen an zentraler Lage in einem kernsanierten Mehrfamilienhaus an der Ulrich-Hegner-Strasse 1 in 8400 Winterthur. Infos zur Bewerbung und detailierte Informationen zum Projekt finden Sie auf der Website: www.vantage3.ch. Die Renovierung dieses Gebäudes zielte darauf ab, ein einladendes und modernes Ambiente zu schaffen, dass dem Lebensstil der Winterthurer Bewohner entspricht. Bei der Modernisierung lag besonderes Augenmerk darauf, jeder Wohnung einen zeitgemässen Ausbaustandard zu verleihen. Die individuellen Wohnräume sind flexibel gestaltet und reichen von 1.5 bis 4.5 Zimmern, um den vielfältigen Bedürfnissen der Mieter gerecht zu werden. Jede Einheit besticht durch hochwertigen Parkettboden und eine elegante Materialisierung in den Badezimmern. Die stilvollen Küchen integrieren sich nahtlos in den Wohnbereich und sind mit modernsten Geräten ausgestattet. Diese Wohnungen bieten eine herausragende Gelegenheit, zentral und in einem historischen Haus nahe des Stadtzentrums zu wohnen. Bezug per 1. März 2025Ulrich-Hegner-Strasse 1, 8400 Winterthur","Frisch sanierte 2.5-Zimmerwohnung","68m²","2.5 Zimmer"
"1726673548-12","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2.5 Zimmer","CHF 2’190.–","Ulrich Hegnerstrasse 1, 8400 Winterthur","Das Projekt Vantage3 umfasst 10 Mietwohnungen an zentraler Lage in einem kernsanierten Mehrfamilienhaus an der Ulrich-Hegner-Strasse 1 in 8400 Winterthur. Infos zur Bewerbung und detailierte Informationen zum Projekt finden Sie auf der Website: www.vantage3.ch. Die Renovierung dieses Gebäudes zielte darauf ab, ein einladendes und modernes Ambiente zu schaffen, dass dem Lebensstil der Winterthurer Bewohner entspricht. Bei der Modernisierung lag besonderes Augenmerk darauf, jeder Wohnung einen zeitgemässen Ausbaustandard zu verleihen. Die individuellen Wohnräume sind flexibel gestaltet und reichen von 1.5 bis 4.5 Zimmern, um den vielfältigen Bedürfnissen der Mieter gerecht zu werden. Jede Einheit besticht durch hochwertigen Parkettboden und eine elegante Materialisierung in den Badezimmern. Die stilvollen Küchen integrieren sich nahtlos in den Wohnbereich und sind mit modernsten Geräten ausgestattet. Diese Wohnungen bieten eine herausragende Gelegenheit, zentral und in einem historischen Haus nahe des Stadtzentrums zu wohnen. Bezug per 1. März 2025Ulrich-Hegner-Strasse 1, 8400 Winterthur","Frisch sanierte 2.5-Zimmerwohnung","68m²","2.5 Zimmer"
"1726673548-13","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4.5 Zimmer","CHF 2’580.–","Ulrich Hegnerstrasse 1, 8400 Winterthur","Das Projekt Vantage3 umfasst 10 Mietwohnungen an zentraler Lage in einem kernsanierten Mehrfamilienhaus an der Ulrich-Hegner-Strasse 1 in 8400 Winterthur. Infos zur Bewerbung und detailierte Informationen zum Projekt finden Sie auf der Website: www.vantage3.ch. Die Renovierung dieses Gebäudes zielte darauf ab, ein einladendes und modernes Ambiente zu schaffen, dass dem Lebensstil der Winterthurer Bewohner entspricht. Bei der Modernisierung lag besonderes Augenmerk darauf, jeder Wohnung einen zeitgemässen Ausbaustandard zu verleihen. Die individuellen Wohnräume sind flexibel gestaltet und reichen von 1.5 bis 4.5 Zimmern, um den vielfältigen Bedürfnissen der Mieter gerecht zu werden. Jede Einheit besticht durch hochwertigen Parkettboden und eine elegante Materialisierung in den Badezimmern. Die stilvollen Küchen integrieren sich nahtlos in den Wohnbereich und sind mit modernsten Geräten ausgestattet. Diese Wohnungen bieten eine herausragende Gelegenheit, zentral und in einem historischen Haus nahe des Stadtzentrums zu wohnen. Bezug per 1. März 2025Ulrich-Hegner-Strasse 1, 8400 Winterthur","Frisch sanierte 4.5-Zimmerwohnung","79m²","4.5 Zimmer"
"1726673548-14","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","3.5 Zimmer","CHF 1’839.–","Rümikerstrasse 19, 8409 Winterthur","Saniert im Jahr 2018Die Küche sowie das Badezimmer wurden komplett erneuert. Je nach Raum werden Parkett- oder Laminatböden verlegt.Familienfreundliche LageDie familienfreundliche Überbauung bietet einen Spielplatz mit grosszügiger Grünfläche. Das Schulhaus Hegi befindet sich ebenfalls in unmittelbarer Nähe.EinkaufsmöglichkeitenDiverse Einkaufsmöglichkeiten wie Migros und Coop bieten den Bewohnern alles, was für den täglichen Bedarf benötigt wird. Diverse Geschäfte wie Media Markt sind ebenfalls in wenigen Gehminuten zu erreichen.Öffentliche VerkehrsmittelDie Wohnlage ist perfekt, dank der gut angebundenen öffentlichen Verkehrsmittel sind Sie in 20 Minuten im Zentrum der Stadt Winterthur.Eigener WaschturmJede Wohnung verfügt über eine eigene Waschmaschine und Tumbler.Tiefgaragenparkplätze und BastelräumeAuf Wunsch können attraktive Bastelräume und Tiefgaragenplätze dazu gemietet werden. Alle Bilder zeigen den Standard. Der Grundriss kann leicht abweichen.","Rümikerstrasse - eine Wohnüberbauung die lebt und atmet","88m²","3.5 Zimmer"
"1726673548-15","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","1.5 Zimmer","CHF 1’970.–","Marktgasse 23, 8400 Winterthur","","Moderne 1.5-Zimmerwohnung mit Loggia in der Marktgasse","39m²","1.5 Zimmer"
"1726673548-16","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4.5 Zimmer","CHF 2’698.–","Wydenstrasse 57, 8408 Winterthur","","Wohnerlebnis im Grünen","115m²","4.5 Zimmer"
"1726673548-17","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2.5 Zimmer","CHF 1’700.–","Zum Hölzli 2, 8405 Winterthur","","Schöne 2.5-Zimmer Dachwohnung zu vermieten","85m²","2.5 Zimmer"
"1726673548-18","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4.5 Zimmer","CHF 2’535.–","Wydenstrasse 43, 8408 Winterthur","","Wohnerlebnis im Grünen","107m²","4.5 Zimmer"
"1726673548-19","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4.5 Zimmer","CHF 2’590.–","Espenstrasse 88, 8408 Winterthur","","helle, sonnige 4.5-Zimmerwohnung","105m²","4.5 Zimmer"
"1726673548-20","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","5.5 Zimmer","CHF 3’621.–","Rudolfstrasse 17, 8400 Winterthur","","Zentrale 5.5-Zimmerwohnung in Winterthur sucht neuen Mieter!","140m²","5.5 Zimmer"
